DimB_SK,businessname,dbaname,legalowner,namelast,namefirst,address,city,state,zip,property_id,dayphn,Latitude,Longitude,BusinessConcat
3002440,Sugar Bowl Cafe LLC,,,Baker,Kathleen,857   Dorchester AVE,Dorchester,MA,02125,157324,+16178491021,42.321461,-71.05696,Sugar Bowl Cafe LLCBakerKathleen157324
3002441,"Sullivan's",,,HMS Host,Att: Accounts Payable,200   Terminal RD,East Boston,MA,02128,341353,+16176346097,0,0,"Sullivan'sHMS HostAtt: Accounts Payable341353"
3002442,"Sullivan's Castle Island @ Hub Hall",,,Sullivan,Brendan,80  Causeway ST,Boston,MA,02114,423633,+16172685685,0,0,"Sullivan's Castle Island @ Hub HallSullivanBrendan423633"
3002443,"Sullivan's Tap",,CAUSCAN LIMITED PARTNERSHIP,BARRY BORNSTEIN,"",168   Canal ST,Boston,MA,02114,25420,+17164351356,0,0,"Sullivan's TapBARRY BORNSTEIN25420"
3002444,"Sullivan's Tap",,,"Sullivan's Salon LLC","",168   Canal ST,Boston,MA,02114,354253,+17164351356,0,0,"Sullivan's TapSullivan's Salon LLC354253"
3002445,Summer Shack,,,Lombardi,Vincent,1   Citywide ST,Boston,MA,02128,0,+10000000000,42.347065,-71.085643,Summer ShackLombardiVincent0
3002446,Summer Shack,,CAMBRIA- SCOTIA COMPANY,Shark Foods of Back Bay LLC,c/o Lyons Group,50   Dalton ST,Boston,MA,02115,45832,+10000000000,42.347065,-71.085643,Summer ShackShark Foods of Back Bay LLCc/o Lyons Group45832
3002447,Sunny Cafe,,KIM JIN HYANG,Zhen,Jieya,1000   Bennington ST,East Boston,MA,02128,14507,+16464790887,42.38687,-71.00687,Sunny CafeZhenJieya14507
3002448,Super Emoji,,GREENHOOD ERNEST J TRSTS,Supernova Boston LLC,"",217   Newbury ST,Boston,MA,02116,101434,+13013858900,42.35013,-71.08137,Super EmojiSupernova Boston LLC101434
3002449,Super Stop & Shop,,,SUPER STOP & SHOP LLC,Attn: Licensing Department,1100  Massachusetts AVE,Dorchester,MA,02125,91942,+16175414700,42.326543,-71.065176,Super Stop & ShopSUPER STOP & SHOP LLCAttn: Licensing Department91942
3002450,Supreme House of Pizza,,,Adam,Adel,313  Old Colony AVE,South Boston,MA,02127,157795,+18572656250,42.32969,-71.05287,Supreme House of PizzaAdamAdel157795
3002451,Supreme House of Pizza,,ROTARY VARIETY STORE INC,ZERHOUNI,SANAE,309  Old Colony AVE,South Boston,MA,02127,105089,+18572656250,42.32969,-71.05287,Supreme House of PizzaZERHOUNISANAE105089
3002452,Supreme Pizza,,,Charam L L C,"",177   Massachusetts AVE,Boston,MA,02115,91980,+16172478252,42.34577,-71.08734,Supreme PizzaCharam L L C91980
3002453,Sushi Kappo,,"",Garcia Owner,Jose,84   Peterborough ST,Boston,MA,02115,168718,+16173727221,42.343077,-71.09911,Sushi KappoGarcia OwnerJose168718
3002454,Sushi Today,,,Edison & Hazel Inc.,Att: Accounts Payable,1562   Tremont ST,Mission Hill,MA,02120,137246,+16177380888,42.33293,-71.1017,Sushi TodayEdison & Hazel Inc.Att: Accounts Payable137246
3002455,Suya Joint,,,Lizotte,Cecelia,1   Citywide ST,Boston,MA,02128,0,+15084466746,42.32832,-71.08196,Suya JointLizotteCecelia0
