DimB_SK,DimL_SK,DimV_SK,ViolationLevel
3000017,2001488,100084,2
3000017,2001488,100095,2
3000017,2001488,100102,2
3000017,2001488,100129,3
3000017,2001488,100139,1
3000017,2001488,100166,3
3000017,2001488,100168,2
3000017,2001488,100169,3
3000017,2001488,100175,1
3000017,2001488,100227,2
3000017,2001488,100234,1
3000017,2001488,100256,2
3000017,2001488,100304,2
3000017,2001488,100306,1
3000017,2001488,100333,1
3000017,2001488,100341,1
3000017,2001488,100355,2
3000017,2001488,100372,1
3000017,2001488,100420,3
3000018,2002467,100000,0
3000019,2000689,100000,0
3000019,2000689,100006,2
3000019,2000689,100009,1
3000019,2000689,100012,3
3000019,2000689,100013,3
3000019,2000689,100014,3
3000019,2000689,100023,1
3000019,2000689,100025,1
3000019,2000689,100033,1
3000019,2000689,100037,1
3000019,2000689,100041,3
3000019,2000689,100044,1
3000019,2000689,100045,1
3000019,2000689,100051,1
3000019,2000689,100055,1
3000019,2000689,100060,2
3000019,2000689,100062,1
3000019,2000689,100064,1
3000019,2000689,100071,3
3000019,2000689,100075,1
3000020,2002458,100139,1
3000020,2002458,100234,1
3000020,2002458,100243,1
3000020,2002458,100372,1
3000021,2000611,100000,0
3000021,2000611,100009,1
3000021,2000611,100014,3
3000021,2000611,100017,1
3000021,2000611,100023,1
3000021,2000611,100024,1
3000021,2000611,100026,1
3000021,2000611,100032,1
3000021,2000611,100033,1
3000021,2000611,100036,1
3000021,2000611,100037,1
3000021,2000611,100041,3
3000021,2000611,100042,1
3000021,2000611,100043,2
3000021,2000611,100044,1
3000021,2000611,100045,1
3000021,2000611,100051,1
3000021,2000611,100054,3
3000021,2000611,100055,1
3000021,2000611,100057,1
3000021,2000611,100059,1
3000021,2000611,100060,2
3000021,2000611,100061,1
3000021,2000611,100062,1
3000021,2000611,100063,1
3000021,2000611,100064,1
3000021,2000611,100066,1
3000021,2000611,100071,3
3000021,2000611,100073,3
3000021,2000611,100075,1
3000021,2000611,100077,1
3000021,2000611,100211,1
3000021,2000611,100251,1
3000021,2000611,100366,1
3000021,2000611,100369,2
3000021,2000611,100416,3
3000021,2000611,100418,3
3000021,2000611,100420,3
3000022,2001776,100000,0
3000022,2001776,100099,1
3000022,2001776,100168,2
3000022,2001776,100210,2
3000022,2001776,100256,2
3000022,2001776,100262,1
3000022,2001776,100328,1
3000022,2001776,100341,1
3000022,2001776,100356,2
3000023,2001041,100000,0
3000023,2001041,100009,1
3000023,2001041,100021,3
3000023,2001041,100023,1
3000023,2001041,100024,1
3000023,2001041,100032,1
3000023,2001041,100033,1
3000023,2001041,100037,1
3000023,2001041,100042,1
3000023,2001041,100043,2
3000023,2001041,100044,1
3000023,2001041,100045,1
3000023,2001041,100047,1
3000023,2001041,100051,1
3000023,2001041,100062,1
3000023,2001041,100064,1
3000023,2001041,100075,1
3000023,2001041,100077,1
3000023,2001041,100083,1
3000023,2001041,100084,2
3000023,2001041,100094,3
3000023,2001041,100100,1
3000023,2001041,100102,2
3000023,2001041,100139,1
3000023,2001041,100169,3
3000023,2001041,100200,2
3000023,2001041,100234,1
3000023,2001041,100257,1
3000023,2001041,100260,1
3000023,2001041,100277,1
3000023,2001041,100300,1
3000023,2001041,100306,1
3000023,2001041,100335,1
3000023,2001041,100358,1
3000023,2001041,100366,1
3000023,2001041,100371,1
3000023,2001041,100372,1
3000023,2001041,100413,0
3000023,2001041,100416,3
3000023,2001041,100417,3
3000024,2001245,100000,0
3000024,2001245,100001,3
3000024,2001245,100009,1
3000024,2001245,100011,3
3000024,2001245,100012,3
3000024,2001245,100013,3
3000024,2001245,100014,3
3000024,2001245,100017,1
3000024,2001245,100018,1
3000024,2001245,100019,1
3000024,2001245,100021,3
3000024,2001245,100023,1
3000024,2001245,100025,1
3000024,2001245,100028,3
3000024,2001245,100029,3
3000024,2001245,100030,3
3000024,2001245,100031,1
3000024,2001245,100032,1
3000024,2001245,100033,1
3000024,2001245,100035,1
3000024,2001245,100036,1
3000024,2001245,100037,1
3000024,2001245,100038,1
3000024,2001245,100042,1
3000024,2001245,100043,2
3000024,2001245,100044,1
3000024,2001245,100045,1
3000024,2001245,100047,1
3000024,2001245,100048,1
3000024,2001245,100051,1
3000024,2001245,100055,1
3000024,2001245,100057,1
3000024,2001245,100058,1
3000024,2001245,100059,1
3000024,2001245,100060,2
3000024,2001245,100061,1
3000024,2001245,100062,1
3000024,2001245,100063,1
3000024,2001245,100064,1
3000024,2001245,100065,1
3000024,2001245,100066,1
3000024,2001245,100068,1
3000024,2001245,100071,3
3000024,2001245,100074,1
3000024,2001245,100075,1
3000024,2001245,100076,1
3000024,2001245,100093,3
3000024,2001245,100095,2
3000024,2001245,100102,2
3000024,2001245,100128,1
3000024,2001245,100137,1
3000024,2001245,100139,1
3000024,2001245,100158,3
3000024,2001245,100166,3
3000024,2001245,100168,2
3000024,2001245,100188,1
3000024,2001245,100199,1
3000024,2001245,100220,2
3000024,2001245,100228,2
3000024,2001245,100229,2
3000024,2001245,100234,1
3000024,2001245,100256,2
3000024,2001245,100260,1
3000024,2001245,100333,1
3000024,2001245,100335,1
3000024,2001245,100339,1
3000024,2001245,100369,2
3000024,2001245,100374,1
3000024,2001245,100379,1
3000024,2001245,100413,0
3000024,2001245,100417,3
3000024,2001245,100420,3
3000025,2002388,100000,0
3000026,2002162,100000,0
3000027,2000800,100000,0
3000027,2000800,100014,3
3000027,2000800,100023,1
3000027,2000800,100025,1
3000027,2000800,100033,1
3000027,2000800,100036,1
3000027,2000800,100037,1
3000027,2000800,100042,1
3000027,2000800,100044,1
3000027,2000800,100045,1
3000027,2000800,100051,1
3000027,2000800,100055,1
3000027,2000800,100062,1
3000027,2000800,100063,1
3000027,2000800,100064,1
3000027,2000800,100075,1
3000028,2002676,100000,0
3000028,2002676,100009,1
3000028,2002676,100014,3
3000028,2002676,100017,1
3000028,2002676,100018,1
3000028,2002676,100023,1
3000028,2002676,100025,1
3000028,2002676,100031,1
3000028,2002676,100032,1
3000028,2002676,100033,1
3000028,2002676,100036,1
3000028,2002676,100037,1
3000028,2002676,100041,3
3000028,2002676,100042,1
3000028,2002676,100043,2
3000028,2002676,100044,1
3000028,2002676,100045,1
3000028,2002676,100051,1
3000028,2002676,100054,3
3000028,2002676,100055,1
3000028,2002676,100058,1
3000028,2002676,100059,1
3000028,2002676,100060,2
3000028,2002676,100061,1
3000028,2002676,100062,1
3000028,2002676,100063,1
3000028,2002676,100064,1
3000028,2002676,100067,1
3000028,2002676,100084,2
3000028,2002676,100094,3
3000028,2002676,100106,1
3000028,2002676,100127,2
3000028,2002676,100129,3
3000028,2002676,100135,1
3000028,2002676,100137,1
3000028,2002676,100139,1
3000028,2002676,100144,1
3000028,2002676,100146,1
3000028,2002676,100168,2
3000028,2002676,100178,2
3000028,2002676,100243,1
3000028,2002676,100255,1
3000028,2002676,100260,1
3000028,2002676,100306,1
3000028,2002676,100307,3
3000028,2002676,100333,1
3000028,2002676,100335,1
3000028,2002676,100356,2
3000028,2002676,100361,1
3000028,2002676,100365,2
3000028,2002676,100366,1
3000028,2002676,100369,2
3000028,2002676,100372,1
3000029,2000427,100000,0
3000029,2000428,100000,0
3000029,2000428,100208,2
3000029,2000428,100252,2
3000029,2000428,100413,0
3000029,2000428,100420,3
3000030,2000449,100000,0
3000030,2000449,100033,1
3000030,2000449,100139,1
3000030,2000449,100335,1
3000031,2002617,100000,0
3000031,2002617,100014,3
3000031,2002617,100042,1
3000031,2002617,100043,2
3000031,2002617,100044,1
3000031,2002617,100166,3
3000031,2002617,100178,2
3000031,2002617,100234,1
3000031,2002617,100403,3
3000031,2002617,100417,3
3000031,2002617,100420,3
3000031,2002617,100421,3
3000032,2001926,100064,1
3000033,2002115,100000,0
3000033,2002115,100178,2
3000034,2002245,100082,2
3000034,2002245,100102,2
3000034,2002245,100128,1
3000034,2002245,100129,3
3000034,2002245,100130,1
3000034,2002245,100139,1
3000034,2002245,100144,1
3000034,2002245,100168,2
3000034,2002245,100173,1
3000034,2002245,100175,1
3000034,2002245,100176,2
3000034,2002245,100178,2
3000034,2002245,100186,1
3000034,2002245,100188,1
3000034,2002245,100199,1
3000034,2002245,100224,1
3000034,2002245,100277,1
3000034,2002245,100278,1
3000034,2002245,100304,2
3000034,2002245,100315,1
3000034,2002245,100322,1
3000034,2002245,100323,1
3000034,2002245,100330,1
3000034,2002245,100335,1
3000034,2002245,100349,1
3000034,2002245,100367,1
3000034,2002245,100369,2
3000034,2002245,100411,3
3000034,2002245,100413,0
3000035,2000616,100000,0
3000035,2000616,100005,2
3000035,2000616,100006,2
3000035,2000616,100009,1
3000035,2000616,100012,3
3000035,2000616,100014,3
3000035,2000616,100017,1
3000035,2000616,100018,1
3000035,2000616,100019,1
3000035,2000616,100023,1
3000035,2000616,100024,1
3000035,2000616,100025,1
3000035,2000616,100028,3
3000035,2000616,100031,1
3000035,2000616,100032,1
3000035,2000616,100033,1
3000035,2000616,100037,1
3000035,2000616,100038,1
3000035,2000616,100040,1
3000035,2000616,100041,3
3000035,2000616,100042,1
3000035,2000616,100043,2
3000035,2000616,100044,1
3000035,2000616,100051,1
3000035,2000616,100053,3
3000035,2000616,100054,3
3000035,2000616,100055,1
3000035,2000616,100059,1
3000035,2000616,100060,2
3000035,2000616,100062,1
3000035,2000616,100063,1
3000035,2000616,100064,1
3000035,2000616,100065,1
3000035,2000616,100066,1
3000035,2000616,100067,1
3000035,2000616,100068,1
3000035,2000616,100075,1
3000035,2000616,100095,2
3000035,2000616,100127,2
3000035,2000616,100162,1
3000035,2000616,100168,2
3000035,2000616,100175,1
3000035,2000616,100227,2
3000035,2000616,100256,2
3000035,2000616,100260,1
3000035,2000616,100355,2
3000035,2000616,100416,3
3000035,2000616,100420,3
3000036,2002373,100083,1
3000036,2002373,100094,3
3000036,2002373,100102,2
3000036,2002373,100139,1
3000036,2002373,100166,3
3000036,2002373,100188,1
3000036,2002373,100355,2
3000036,2002373,100356,2
3000036,2002373,100358,1
3000037,2000940,100000,0
3000037,2000940,100009,1
3000037,2000940,100011,3
3000037,2000940,100013,3
3000037,2000940,100014,3
3000037,2000940,100017,1
3000037,2000940,100019,1
3000037,2000940,100021,3
3000037,2000940,100023,1
3000037,2000940,100025,1
3000037,2000940,100029,3
3000037,2000940,100030,3
3000037,2000940,100031,1
3000037,2000940,100032,1
3000037,2000940,100033,1
3000037,2000940,100035,1
3000037,2000940,100036,1
3000037,2000940,100037,1
3000037,2000940,100038,1
3000037,2000940,100039,1
3000037,2000940,100041,3
3000037,2000940,100042,1
3000037,2000940,100043,2
3000037,2000940,100044,1
3000037,2000940,100045,1
3000037,2000940,100047,1
3000037,2000940,100053,3
3000037,2000940,100054,3
3000037,2000940,100055,1
3000037,2000940,100056,1
3000037,2000940,100057,1
3000037,2000940,100058,1
3000037,2000940,100059,1
3000037,2000940,100060,2
3000037,2000940,100061,1
3000037,2000940,100062,1
3000037,2000940,100063,1
3000037,2000940,100064,1
3000037,2000940,100066,1
3000037,2000940,100068,1
3000037,2000940,100069,3
3000037,2000940,100070,3
3000037,2000940,100075,1
3000037,2000940,100143,1
3000037,2000940,100168,2
3000037,2000940,100198,1
3000037,2000940,100205,1
3000037,2000940,100223,1
3000037,2000940,100260,1
3000037,2000940,100320,1
3000037,2000940,100372,1
3000037,2000940,100413,0
3000037,2000940,100416,3
3000037,2000940,100417,3
3000037,2000940,100418,3
3000037,2000940,100420,3
3000038,2001105,100000,0
3000038,2001105,100001,3
3000038,2001105,100007,3
3000038,2001105,100009,1
3000038,2001105,100014,3
3000038,2001105,100017,1
3000038,2001105,100023,1
3000038,2001105,100025,1
3000038,2001105,100028,3
3000038,2001105,100029,3
3000038,2001105,100030,3
3000038,2001105,100031,1
3000038,2001105,100032,1
3000038,2001105,100033,1
3000038,2001105,100037,1
3000038,2001105,100042,1
3000038,2001105,100043,2
3000038,2001105,100044,1
3000038,2001105,100051,1
3000038,2001105,100055,1
3000038,2001105,100056,1
3000038,2001105,100057,1
3000038,2001105,100060,2
3000038,2001105,100062,1
3000038,2001105,100063,1
3000038,2001105,100064,1
3000038,2001105,100068,1
3000038,2001105,100075,1
3000038,2001105,100083,1
3000038,2001105,100099,1
3000038,2001105,100130,1
3000038,2001105,100139,1
3000038,2001105,100144,1
3000038,2001105,100165,2
3000038,2001105,100205,1
3000038,2001105,100226,2
3000038,2001105,100228,2
3000038,2001105,100260,1
3000038,2001105,100306,1
3000038,2001105,100334,1
3000038,2001105,100413,0
3000038,2001105,100417,3
3000039,2000981,100000,0
3000039,2000981,100009,1
3000039,2000981,100017,1
3000039,2000981,100018,1
3000039,2000981,100019,1
3000039,2000981,100021,3
3000039,2000981,100023,1
3000039,2000981,100032,1
3000039,2000981,100033,1
3000039,2000981,100037,1
3000039,2000981,100038,1
3000039,2000981,100042,1
3000039,2000981,100043,2
3000039,2000981,100044,1
3000039,2000981,100045,1
3000039,2000981,100051,1
3000039,2000981,100052,2
3000039,2000981,100055,1
3000039,2000981,100056,1
3000039,2000981,100060,2
3000039,2000981,100062,1
3000039,2000981,100063,1
3000039,2000981,100064,1
3000039,2000981,100065,1
3000039,2000981,100072,3
3000039,2000981,100074,1
3000039,2000981,100075,1
3000039,2000981,100077,1
3000039,2000981,100139,1
3000039,2000981,100205,1
3000039,2000981,100234,1
3000039,2000981,100243,1
3000039,2000981,100256,2
3000039,2000981,100260,1
3000039,2000981,100304,2
3000039,2000981,100335,1
3000039,2000981,100355,2
3000039,2000981,100356,2
3000039,2000981,100358,1
3000039,2000981,100372,1
3000039,2000981,100374,1
3000039,2000981,100413,0
3000039,2000981,100416,3
3000039,2000981,100417,3
3000040,2001012,100000,0
3000040,2001012,100009,1
3000040,2001012,100013,3
3000040,2001012,100014,3
3000040,2001012,100017,1
3000040,2001012,100030,3
3000040,2001012,100031,1
3000040,2001012,100032,1
3000040,2001012,100033,1
3000040,2001012,100035,1
3000040,2001012,100036,1
3000040,2001012,100037,1
3000040,2001012,100042,1
3000040,2001012,100043,2
3000040,2001012,100044,1
3000040,2001012,100053,3
3000040,2001012,100054,3
3000040,2001012,100055,1
3000040,2001012,100060,2
3000040,2001012,100062,1
3000040,2001012,100063,1
3000040,2001012,100064,1
3000040,2001012,100070,3
3000040,2001012,100073,3
3000040,2001012,100074,1
3000040,2001012,100075,1
3000040,2001012,100077,1
3000040,2001012,100083,1
3000040,2001012,100084,2
3000040,2001012,100088,2
3000040,2001012,100097,1
3000040,2001012,100099,1
3000040,2001012,100100,1
3000040,2001012,100102,2
3000040,2001012,100128,1
3000040,2001012,100130,1
3000040,2001012,100137,1
3000040,2001012,100139,1
3000040,2001012,100140,1
3000040,2001012,100164,1
3000040,2001012,100167,3
3000040,2001012,100168,2
3000040,2001012,100175,1
3000040,2001012,100176,2
3000040,2001012,100178,2
3000040,2001012,100186,1
3000040,2001012,100188,1
3000040,2001012,100194,1
3000040,2001012,100205,1
3000040,2001012,100215,1
3000040,2001012,100223,1
3000040,2001012,100228,2
3000040,2001012,100231,1
3000040,2001012,100234,1
3000040,2001012,100243,1
3000040,2001012,100255,1
3000040,2001012,100256,2
3000040,2001012,100258,3
3000040,2001012,100260,1
3000040,2001012,100277,1
3000040,2001012,100300,1
3000040,2001012,100304,2
3000040,2001012,100306,1
3000040,2001012,100317,1
3000040,2001012,100328,1
3000040,2001012,100335,1
3000040,2001012,100341,1
3000040,2001012,100350,1
3000040,2001012,100355,2
3000040,2001012,100356,2
3000040,2001012,100358,1
3000040,2001012,100360,1
3000040,2001012,100366,1
3000040,2001012,100369,2
3000040,2001012,100372,1
3000040,2001012,100374,1
3000040,2001012,100378,1
3000040,2001012,100380,1
3000040,2001012,100381,1
3000040,2001012,100383,2
3000040,2001012,100413,0
3000040,2001012,100416,3
3000040,2001012,100420,3
3000041,2000782,100000,0
3000041,2000782,100013,3
3000041,2000782,100018,1
3000041,2000782,100023,1
3000041,2000782,100024,1
3000041,2000782,100025,1
3000041,2000782,100031,1
3000041,2000782,100032,1
3000041,2000782,100033,1
3000041,2000782,100035,1
3000041,2000782,100036,1
3000041,2000782,100037,1
3000041,2000782,100038,1
3000041,2000782,100041,3
3000041,2000782,100042,1
3000041,2000782,100043,2
3000041,2000782,100044,1
3000041,2000782,100045,1
3000041,2000782,100046,1
3000041,2000782,100047,1
3000041,2000782,100051,1
3000041,2000782,100055,1
3000041,2000782,100056,1
3000041,2000782,100060,2
3000041,2000782,100062,1
3000041,2000782,100063,1
3000041,2000782,100064,1
3000041,2000782,100065,1
3000041,2000782,100066,1
3000041,2000782,100067,1
3000041,2000782,100069,3
3000041,2000782,100071,3
3000041,2000782,100075,1
3000041,2000782,100102,2
3000041,2000782,100260,1
3000041,2000782,100306,1
3000041,2000782,100333,1
3000041,2000782,100341,1
3000041,2000782,100366,1
3000041,2000782,100413,0
3000041,2000782,100416,3
3000041,2000782,100417,3
3000042,2000564,100000,0
3000042,2000564,100009,1
3000042,2000564,100013,3
3000042,2000564,100019,1
3000042,2000564,100022,1
3000042,2000564,100023,1
3000042,2000564,100028,3
3000042,2000564,100031,1
3000042,2000564,100032,1
3000042,2000564,100033,1
3000042,2000564,100035,1
3000042,2000564,100038,1
3000042,2000564,100042,1
3000042,2000564,100043,2
3000042,2000564,100044,1
3000042,2000564,100045,1
3000042,2000564,100046,1
3000042,2000564,100048,1
3000042,2000564,100050,2
3000042,2000564,100051,1
3000042,2000564,100054,3
3000042,2000564,100055,1
3000042,2000564,100061,1
3000042,2000564,100062,1
3000042,2000564,100063,1
3000042,2000564,100064,1
3000042,2000564,100066,1
3000042,2000564,100067,1
3000042,2000564,100074,1
3000042,2000564,100075,1
3000042,2000564,100079,3
3000042,2000564,100083,1
3000042,2000564,100084,2
3000042,2000564,100092,3
3000042,2000564,100094,3
3000042,2000564,100108,3
3000042,2000564,100128,1
3000042,2000564,100129,3
3000042,2000564,100132,1
3000042,2000564,100139,1
3000042,2000564,100143,1
3000042,2000564,100160,1
3000042,2000564,100162,1
3000042,2000564,100166,3
3000042,2000564,100167,3
3000042,2000564,100168,2
3000042,2000564,100175,1
3000042,2000564,100181,1
3000042,2000564,100194,1
3000042,2000564,100198,1
3000042,2000564,100199,1
3000042,2000564,100234,1
3000042,2000564,100243,1
3000042,2000564,100252,2
3000042,2000564,100257,1
3000042,2000564,100259,1
3000042,2000564,100260,1
3000042,2000564,100271,1
3000042,2000564,100277,1
3000042,2000564,100300,1
3000042,2000564,100304,2
3000042,2000564,100312,1
3000042,2000564,100326,1
3000042,2000564,100333,1
3000042,2000564,100335,1
3000042,2000564,100355,2
